page,keyword,count,density,inTitle,inH1,inH2
"/about/our-fleet/","private pilot","5","0.56","false","false","false"
"/about/our-fleet/","commercial pilot","4","0.45","false","false","false"
"/blog/why-experience-matters-in-flight-training/","pilot","34","6.02","true","true","true"
"/blog/why-experience-matters-in-flight-training/","flight school","2","0.35","false","false","false"
"/blog/why-experience-matters-in-flight-training/","pilot training","4","0.71","false","false","false"
"/blog/why-experience-matters-in-flight-training/","private pilot","4","0.71","false","false","false"
"/blog/why-experience-matters-in-flight-training/","commercial pilot","3","0.53","false","false","false"
"/about/our-team/","pilot","31","4.1","true","false","true"
"/about/our-team/","flight school","4","0.53","false","true","false"
"/about/our-team/","pilot training","4","0.53","false","false","false"
"/about/our-team/","private pilot","5","0.66","false","false","false"
"/about/our-team/","commercial pilot","4","0.53","false","false","false"
"/blog/understanding-the-1500-hour-rule-airline-pilot-path/","pilot","52","4.08","true","false","true"
"/blog/understanding-the-1500-hour-rule-airline-pilot-path/","flight school","1","0.08","false","false","false"
"/blog/understanding-the-1500-hour-rule-airline-pilot-path/","pilot training","4","0.31","false","false","false"
"/blog/understanding-the-1500-hour-rule-airline-pilot-path/","private pilot","4","0.31","false","false","false"
"/blog/understanding-the-1500-hour-rule-airline-pilot-path/","commercial pilot","4","0.31","false","false","false"
"/blog/what-does-it-mean-to-fly-in-the-soup-aviation-slang/","pilot","37","2.79","true","false","true"
"/blog/what-does-it-mean-to-fly-in-the-soup-aviation-slang/","flight school","2","0.15","false","false","false"
"/blog/what-does-it-mean-to-fly-in-the-soup-aviation-slang/","pilot training","4","0.3","false","false","false"
"/blog/what-does-it-mean-to-fly-in-the-soup-aviation-slang/","private pilot","4","0.3","false","false","false"
"/blog/what-does-it-mean-to-fly-in-the-soup-aviation-slang/","commercial pilot","3","0.23","false","false","false"
"/blog/why-most-student-pilots-drop-out-and-how-to-succeed/","pilot","39","3.13","true","true","true"
"/blog/why-most-student-pilots-drop-out-and-how-to-succeed/","flight school","3","0.24","false","false","false"
"/blog/why-most-student-pilots-drop-out-and-how-to-succeed/","pilot training","4","0.32","false","false","false"
"/blog/why-most-student-pilots-drop-out-and-how-to-succeed/","private pilot","5","0.4","false","false","false"
"/blog/why-most-student-pilots-drop-out-and-how-to-succeed/","commercial pilot","4","0.32","false","false","false"
"/blog/is-it-true-pilots-make-over-300000-a-year/","pilot","56","4.37","true","true","true"
"/blog/is-it-true-pilots-make-over-300000-a-year/","flight school","2","0.16","false","false","false"
"/blog/is-it-true-pilots-make-over-300000-a-year/","pilot training","5","0.39","false","false","false"
"/blog/is-it-true-pilots-make-over-300000-a-year/","private pilot","5","0.39","false","false","false"
"/blog/is-it-true-pilots-make-over-300000-a-year/","commercial pilot","5","0.39","false","false","false"
"/blog/how-pic-builds-safer-more-confident-pilots/","pilot","38","6.03","true","true","true"
"/blog/how-pic-builds-safer-more-confident-pilots/","flight school","1","0.16","false","false","false"
"/blog/how-pic-builds-safer-more-confident-pilots/","pilot training","5","0.79","false","false","false"
"/blog/how-pic-builds-safer-more-confident-pilots/","private pilot","4","0.63","false","false","false"
"/blog/how-pic-builds-safer-more-confident-pilots/","commercial pilot","3","0.48","false","false","false"
"/blog/the-pic-difference-senior-instructors-gold-seal-quality/","pilot","32","5.93","true","false","true"
"/blog/the-pic-difference-senior-instructors-gold-seal-quality/","flight school","2","0.37","false","false","false"
"/blog/the-pic-difference-senior-instructors-gold-seal-quality/","pilot training","4","0.74","false","false","false"
"/blog/the-pic-difference-senior-instructors-gold-seal-quality/","private pilot","4","0.74","false","false","false"
"/blog/the-pic-difference-senior-instructors-gold-seal-quality/","commercial pilot","3","0.56","false","false","false"
"/blog/what-to-expect-in-your-first-flight-lesson-at-pic/","pilot","36","4.83","true","true","true"
"/blog/what-to-expect-in-your-first-flight-lesson-at-pic/","flight school","1","0.13","false","false","false"
"/blog/what-to-expect-in-your-first-flight-lesson-at-pic/","pilot training","4","0.54","false","false","false"
"/blog/what-to-expect-in-your-first-flight-lesson-at-pic/","private pilot","4","0.54","false","false","false"
"/blog/what-to-expect-in-your-first-flight-lesson-at-pic/","commercial pilot","3","0.4","false","false","false"
"/blog/security-standard-for-aviation-at-pilot-instructional-center/","pilot","40","4.47","true","true","true"
"/blog/security-standard-for-aviation-at-pilot-instructional-center/","flight school","3","0.34","false","false","false"
"/blog/security-standard-for-aviation-at-pilot-instructional-center/","pilot training","6","0.67","false","false","false"
"/blog/security-standard-for-aviation-at-pilot-instructional-center/","private pilot","4","0.45","false","false","false"
"/blog/security-standard-for-aviation-at-pilot-instructional-center/","commercial pilot","3","0.34","false","false","false"
