Keyword,Position,Previous Position,Position Difference,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Search Intent,Trends
flight lessons kansas city,78,78,0,140,35,2.57,https://pilotinstructionalcenter.com/pilot-training/,0,0,0,0,0.79,commercial,"28, 23, 23, 35, 100, 23, 35, 35, 28, 23, 35, 35"
flight club kansas city,69,0,0,70,10,2.56,https://pilotinstructionalcenter.com/,0,0,0,0,0.14,navigational,"45, 63, 27, 81, 63, 81, 81, 81, 81, 36, 45, 27"
kixd airport,58,58,0,140,23,0,https://pilotinstructionalcenter.com/about/our-fleet/,0,0,0,0,0.01,informational,"18, 22, 22, 18, 29, 100, 22, 22, 29, 22, 29, 22"
pilot training massachusetts,83,0,0,170,48,2.92,https://pilotinstructionalcenter.com/,0,0,0,0,0.7,commercial,"23, 15, 44, 23, 44, 54, 15, 23, 66, 18, 8, 6"
learning to fly kc,76,76,0,30,9,1.14,https://pilotinstructionalcenter.com/,0,0,0,0,0.2,"navigational, transactional","14, 14, 78, 14, 14, 14, 14, 14, 14, 14, 14, 14"
atd flight systems,59,0,0,390,27,3.17,https://pilotinstructionalcenter.com/,0,0,0,0,0.14,navigational,"48, 32, 32, 39, 39, 39, 48, 48, 48, 59, 48, 32"
flight schools in kansas,24,24,0,170,23,2.88,https://pilotinstructionalcenter.com/,0,0,0,0,0.4,commercial,"81, 34, 53, 43, 43, 43, 53, 65, 65, 81, 34, 34"
learn to fly kansas city,20,20,0,30,43,1.14,https://pilotinstructionalcenter.com/,0,0,0,0,0.2,commercial,"18, 18, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18"
learn to fly kansas city,62,62,0,30,43,1.14,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.2,commercial,"18, 18, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18"
flight schools kansas city,12,0,0,50,20,3.73,https://pilotinstructionalcenter.com/,0,0,0,0,0.72,commercial,"5, 0, 2, 10, 100, 7, 5, 7, 5, 5, 7, 2"
flight schools kansas city,64,0,0,50,20,3.73,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.72,commercial,"5, 0, 2, 10, 100, 7, 5, 7, 5, 5, 7, 2"
pilot staff,81,81,0,30,25,2.87,https://pilotinstructionalcenter.com/about/our-team/,0,0,0,0,0.42,informational,"18, 18, 18, 100, 18, 18, 18, 18, 18, 18, 18, 18"
century flight,95,95,0,30,26,14.75,https://pilotinstructionalcenter.com/,0,0,0,0,0.05,informational,"19, 26, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7"
atd flight systems llc,51,0,0,170,25,4.38,https://pilotinstructionalcenter.com/,0,0,0,0,0.19,navigational,"65, 65, 53, 28, 34, 43, 34, 43, 34, 81, 65, 81"
cessna pilot training center near me,99,99,0,30,35,1.8,https://pilotinstructionalcenter.com/,0,0,0,0,0.67,transactional,"22, 22, 22, 22, 22, 22, 55, 55, 22, 55, 22, 22"
centennial flight schools,72,0,0,70,34,3.37,https://pilotinstructionalcenter.com/,0,0,0,0,0.47,commercial,"35, 50, 50, 50, 50, 50, 50, 50, 50, 50, 35, 50"
kc flight training,12,26,14,140,49,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,informational,"35, 14, 43, 22, 14, 54, 18, 29, 54, 43, 6, 22"
kc flight training,38,0,0,140,49,2.57,https://pilotinstructionalcenter.com/blog/tag/kansas-city-flight-school/,0,0,0,0,0.79,informational,"35, 14, 43, 22, 14, 54, 18, 29, 54, 43, 6, 22"
kc flight training,50,0,0,140,49,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,informational,"35, 14, 43, 22, 14, 54, 18, 29, 54, 43, 6, 22"
pilot qualification,1,0,0,40,30,2.33,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,0,0,0,0,0.13,informational,"1, 3, 1, 5, 15, 6, 6, 5, 8, 6, 0, 8"
flying club kansas city,67,0,0,30,11,2.56,https://pilotinstructionalcenter.com/,0,0,0,0,0.14,navigational,"40, 80, 60, 60, 60, 60, 100, 60, 80, 60, 80, 40"
flying club kansas city,68,0,0,30,11,2.56,https://pilotinstructionalcenter.com/,0,0,0,0,0.14,navigational,"40, 80, 60, 60, 60, 60, 100, 60, 80, 60, 80, 40"
kc aero academy,48,0,0,210,32,1.81,https://pilotinstructionalcenter.com/,0,0,0,0,0.06,navigational,"43, 43, 35, 53, 53, 53, 53, 100, 66, 82, 53, 53"
flying lessons kansas city,14,14,0,110,35,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"28, 28, 17, 17, 23, 28, 53, 35, 28, 23, 23, 17"
flying lessons kansas city,68,68,0,110,35,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,commercial,"28, 28, 17, 17, 23, 28, 53, 35, 28, 23, 23, 17"
flying lessons kansas city,69,68,-1,110,35,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,commercial,"28, 28, 17, 17, 23, 28, 53, 35, 28, 23, 23, 17"
flying lessons kansas city,85,85,0,110,35,2.57,https://pilotinstructionalcenter.com/pilot-training/,0,0,0,0,0.79,commercial,"28, 28, 17, 17, 23, 28, 53, 35, 28, 23, 23, 17"
flying lessons kansas city mo,20,20,0,40,43,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"7, 50, 14, 7, 35, 21, 28, 7, 0, 21, 50, 100"
flight inc,84,0,0,50,47,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.02,navigational,"19, 19, 23, 19, 9, 19, 23, 42, 23, 42, 33, 33"
pilot schools in kansas,16,0,0,110,39,2.81,https://pilotinstructionalcenter.com/,0,0,0,0,0.29,commercial,"42, 100, 52, 42, 33, 66, 80, 19, 33, 52, 33, 52"
sports pilots,50,0,0,720,20,1.59,https://pilotinstructionalcenter.com/flight-training/sport-pilot/,0,0,0,0,0.09,informational,"45, 45, 45, 67, 100, 76, 100, 67, 45, 67, 76, 0"
flex air flight school,46,0,0,210,46,0,https://pilotinstructionalcenter.com/,0,0,0,0,0,navigational,"100, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0"
commercial pilot privileges,6,0,0,90,8,2.24,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,0,0,0,0,0.04,informational,"64, 50, 50, 64, 78, 64, 50, 78, 50, 50, 64, 78"
flying clubs in kansas city,64,64,0,70,9,2.56,https://pilotinstructionalcenter.com/,0,0,0,0,0.14,navigational,"55, 77, 33, 77, 100, 100, 77, 100, 100, 100, 11, 22"
requirements for sport pilot certificate,58,0,0,260,17,1.17,https://pilotinstructionalcenter.com/flight-training/sport-pilot/,0,0,0,0,0.07,informational,"29, 54, 36, 15, 100, 66, 15, 9, 19, 44, 29, 36"
requirements for sport pilot certificate,65,0,0,260,17,1.17,https://pilotinstructionalcenter.com/flight-training/sport-pilot/,0,0,0,0,0.07,informational,"29, 54, 36, 15, 100, 66, 15, 9, 19, 44, 29, 36"
kansas city pilot,31,23,-8,40,17,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.31,commercial,"18, 100, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18"
pilot center,17,0,0,260,49,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.06,commercial,"11, 17, 21, 26, 59, 59, 32, 14, 17, 26, 17, 21"
kansas city flight schools,13,57,44,90,19,0,https://pilotinstructionalcenter.com/,0,0,0,0,0,commercial,"11, 26, 3, 15, 19, 100, 65, 65, 100, 19, 3, 26"
kansas city flight schools,63,0,0,90,19,0,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0,commercial,"11, 26, 3, 15, 19, 100, 65, 65, 100, 19, 3, 26"
pilot training wichita,79,0,0,110,28,1.84,https://pilotinstructionalcenter.com/,0,0,0,0,0.49,commercial,"42, 52, 33, 33, 80, 80, 80, 33, 52, 33, 23, 33"
flight lessons wichita ks,74,0,0,140,18,1.84,https://pilotinstructionalcenter.com/,0,0,0,0,0.49,commercial,"42, 80, 19, 33, 80, 80, 80, 33, 52, 80, 80, 66"
aspire aviation academy,58,58,0,90,34,3.28,https://pilotinstructionalcenter.com/,0,0,0,0,0.2,navigational,"11, 11, 11, 11, 11, 64, 64, 64, 100, 64, 82, 82"
747 type rating cost,2,0,0,30,1,1.64,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,0,0,0,0,0.18,informational,"19, 23, 14, 23, 23, 9, 9, 19, 9, 9, 9, 9"
flight training center,57,0,0,110,51,5.27,https://pilotinstructionalcenter.com/,0,0,0,0,0.21,commercial,"52, 42, 52, 52, 33, 52, 100, 80, 42, 66, 80, 42"
how to pay for flight training,3,0,0,210,30,3.7,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,0,0,0,0,0.44,informational,"82, 100, 66, 53, 53, 43, 53, 43, 43, 43, 35, 53"
flight training for pilots,55,0,0,1000,68,3.06,https://pilotinstructionalcenter.com/,0,0,0,0,0.12,commercial,"1, 1, 1, 0, 13, 66, 4, 2, 2, 2, 3, 3"
kcpt flyers,37,37,0,70,13,0,https://pilotinstructionalcenter.com/blog/,0,0,0,0,0.02,navigational,"52, 41, 52, 41, 41, 41, 41, 64, 41, 52, 41, 41"
new century aircenter olathe ks,67,0,0,1300,12,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.06,"informational, transactional","3, 29, 29, 36, 29, 100, 2, 20, 43, 29, 22, 29"
flight training wichita ks,64,64,0,140,29,1.84,https://pilotinstructionalcenter.com/,0,0,0,0,0.49,commercial,"42, 42, 80, 42, 34, 34, 19, 80, 26, 100, 65, 53"
