Keyword,Position,Previous Position,Position Difference,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Search Intent,Trends
monthly pilot salary,1,1,0,90,39,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,1,0.75,0,0,0.33,informational,"52, 52, 52, 100, 66, 42, 33, 23, 23, 19, 14, 14"
pilot studying,1,1,0,70,50,2.89,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,1,0.75,2,0.62,0.33,informational,"8, 0, 0, 0, 35, 0, 100, 0, 2, 0, 0, 54"
summit flight academy,41,41,0,260,22,2.42,https://pilotinstructionalcenter.com/,0,0,0,0,0.11,navigational,"43, 66, 66, 66, 82, 82, 82, 66, 66, 82, 66, 100"
horizon flight school,69,0,0,40,17,0,https://pilotinstructionalcenter.com/,0,0,0,0,0,commercial,"27, 36, 27, 27, 45, 0, 45, 36, 63, 45, 45, 36"
flight school kansas city,13,13,0,110,20,0,https://pilotinstructionalcenter.com/,0,0,0,0,0,commercial,"8, 8, 0, 8, 8, 8, 8, 5, 2, 8, 8, 8"
flight school kansas city,41,41,0,110,20,0,https://pilotinstructionalcenter.com/blog/tag/kansas-city-flight-school/,0,0,0,0,0,commercial,"8, 8, 0, 8, 8, 8, 8, 5, 2, 8, 8, 8"
flight school kansas city,72,72,0,110,20,0,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0,commercial,"8, 8, 0, 8, 8, 8, 8, 5, 2, 8, 8, 8"
premier flight center,32,52,20,480,20,2.48,https://pilotinstructionalcenter.com/,0,0,0,0,0.06,navigational,"66, 81, 81, 81, 81, 81, 54, 54, 81, 81, 66, 81"
horizon flight center,39,0,0,390,12,3.74,https://pilotinstructionalcenter.com/,0,0,0,0,0.02,navigational,"66, 100, 81, 81, 81, 81, 81, 81, 81, 54, 66, 66"
pilot maker,36,0,0,110,16,2.42,https://pilotinstructionalcenter.com/,0,0,0,0,0.12,"informational, navigational","42, 66, 66, 52, 33, 52, 23, 19, 33, 100, 66, 66"
inflight pilot training,31,52,21,1000,44,3.56,https://pilotinstructionalcenter.com/,0,0,0,0,0.16,informational,"52, 68, 68, 46, 84, 68, 68, 52, 46, 52, 37, 52"
inflight pilot training,41,52,11,1000,44,3.56,https://pilotinstructionalcenter.com/,0,0,0,0,0.16,informational,"52, 68, 68, 46, 84, 68, 68, 52, 46, 52, 37, 52"
pilot career path,32,0,0,170,31,2.85,https://pilotinstructionalcenter.com/airline-pilot-track/,0,0,0,0,0.3,"commercial, informational","53, 53, 53, 53, 65, 65, 34, 53, 65, 65, 28, 53"
aviation schools in kansas,19,22,3,90,28,2.46,https://pilotinstructionalcenter.com/,0,0,0,0,0.29,commercial,"80, 42, 33, 33, 42, 66, 23, 33, 33, 23, 33, 33"
kansas city flight training,12,12,0,30,20,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"5, 11, 11, 5, 11, 11, 41, 29, 100, 0, 0, 0"
kansas city flight training,41,41,0,30,20,2.57,https://pilotinstructionalcenter.com/blog/tag/kansas-city-flight-school/,0,0,0,0,0.79,commercial,"5, 11, 11, 5, 11, 11, 41, 29, 100, 0, 0, 0"
kansas city flight training,65,65,0,30,20,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,commercial,"5, 11, 11, 5, 11, 11, 41, 29, 100, 0, 0, 0"
pilot cpl,40,0,0,1000,18,3.05,https://pilotinstructionalcenter.com/flight-training/commercial-pilot/,0,0,0,0,0.38,informational,"100, 66, 66, 1, 24, 52, 52, 1, 3, 2, 1, 3"
flight training kansas city,13,18,5,140,23,3.73,https://pilotinstructionalcenter.com/,0,0,0,0,0.72,commercial,"29, 81, 18, 29, 29, 22, 18, 29, 29, 29, 22, 35"
flight training kansas city,45,80,35,140,23,3.73,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.72,commercial,"29, 81, 18, 29, 29, 22, 18, 29, 29, 29, 22, 35"
flight training kansas city,71,0,0,140,23,3.73,https://pilotinstructionalcenter.com/pilot-training/new-century-ks/,0,0,0,0,0.72,commercial,"29, 81, 18, 29, 29, 22, 18, 29, 29, 29, 22, 35"
flight training centers,32,0,0,40,57,3.12,https://pilotinstructionalcenter.com/,0,0,0,0,0.09,navigational,"14, 28, 100, 57, 100, 57, 57, 71, 42, 42, 57, 100"
flight training centers,40,0,0,40,57,3.12,https://pilotinstructionalcenter.com/,0,0,0,0,0.09,navigational,"14, 28, 100, 57, 100, 57, 57, 71, 42, 42, 57, 100"
flying club of kansas city,67,0,0,90,11,3.06,https://pilotinstructionalcenter.com/,0,0,0,0,0.09,navigational,"50, 78, 64, 100, 100, 78, 78, 50, 50, 50, 78, 35"
flying club of kansas city,68,0,0,90,11,3.06,https://pilotinstructionalcenter.com/,0,0,0,0,0.09,navigational,"50, 78, 64, 100, 100, 78, 78, 50, 50, 50, 78, 35"
pilot training kansas city,16,11,-5,210,23,3.28,https://pilotinstructionalcenter.com/,0,0,0,0,0.67,informational,"82, 82, 35, 35, 66, 53, 7, 28, 66, 66, 82, 23"
pilot training kansas city,75,0,0,210,23,3.28,https://pilotinstructionalcenter.com/pilot-training/new-century-ks/,0,0,0,0,0.67,informational,"82, 82, 35, 35, 66, 53, 7, 28, 66, 66, 82, 23"
pilot training kansas city,85,0,0,210,23,3.28,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.67,informational,"82, 82, 35, 35, 66, 53, 7, 28, 66, 66, 82, 23"
pilot training kansas city,90,0,0,210,23,3.28,https://pilotinstructionalcenter.com/flight-training/private-pilot/,0,0,0,0,0.67,informational,"82, 82, 35, 35, 66, 53, 7, 28, 66, 66, 82, 23"
pilot institution,1,1,0,40,60,1.27,https://pilotinstructionalcenter.com/,0,0,0,0,0.34,navigational,"81, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0"
pilot institution,34,34,0,40,60,1.27,https://pilotinstructionalcenter.com/,0,0,0,0,0.34,navigational,"81, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0"
pilot institution,53,34,-19,40,60,1.27,https://pilotinstructionalcenter.com/,0,0,0,0,0.34,navigational,"81, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0"
frederick flight center,41,0,0,590,18,2.64,https://pilotinstructionalcenter.com/,0,0,0,0,0.02,navigational,"81, 100, 81, 81, 100, 81, 66, 81, 81, 66, 81, 81"
centerline aviation,70,85,15,210,20,3.73,https://pilotinstructionalcenter.com/,0,0,0,0,0.12,navigational,"65, 65, 80, 100, 80, 80, 80, 65, 65, 80, 80, 80"
flying training institute,73,0,0,40,63,2.6,https://pilotinstructionalcenter.com/,0,0,0,0,0.03,informational,"18, 18, 18, 18, 63, 18, 36, 45, 18, 18, 18, 100"
flying training institute,80,0,0,40,63,2.6,https://pilotinstructionalcenter.com/,0,0,0,0,0.03,informational,"18, 18, 18, 18, 63, 18, 36, 45, 18, 18, 18, 100"
sport pilot certificate cost,51,0,0,210,0,1.33,https://pilotinstructionalcenter.com/flight-training/sport-pilot/,0,0,0,0,0.15,informational,"66, 18, 100, 43, 54, 35, 29, 66, 29, 22, 43, 66"
guided flight discovery,43,0,0,590,14,0,https://pilotinstructionalcenter.com/discovery-flight/,0,0,0,0,0.33,informational,"100, 3, 10, 4, 1, 13, 5, 13, 5, 5, 16, 13"
flying lessons kansas,12,0,0,110,16,2.81,https://pilotinstructionalcenter.com/,0,0,0,0,0.29,commercial,"28, 65, 43, 28, 21, 43, 53, 34, 28, 34, 21, 34"
flying lessons kansas,65,0,0,110,16,2.81,https://pilotinstructionalcenter.com/pilot-training/johnson-county-ks/,0,0,0,0,0.29,commercial,"28, 65, 43, 28, 21, 43, 53, 34, 28, 34, 21, 34"
flying lessons kansas,84,0,0,110,16,2.81,https://pilotinstructionalcenter.com/pilot-training/leawood-ks/,0,0,0,0,0.29,commercial,"28, 65, 43, 28, 21, 43, 53, 34, 28, 34, 21, 34"
new century aircenter,54,54,0,1300,35,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.06,"informational, transactional","29, 16, 22, 20, 29, 81, 36, 43, 36, 22, 16, 22"
kansas flight training,18,18,0,90,27,2.88,https://pilotinstructionalcenter.com/blog/tag/kansas-city-flight-school/,0,0,0,0,0.4,commercial,"66, 23, 23, 33, 52, 52, 52, 66, 42, 52, 52, 42"
kansas flight training,45,45,0,90,27,2.88,https://pilotinstructionalcenter.com/,0,0,0,0,0.4,commercial,"66, 23, 23, 33, 52, 52, 52, 66, 42, 52, 52, 42"
kansas city flying club,60,0,0,40,3,3.06,https://pilotinstructionalcenter.com/,0,0,0,0,0.09,navigational,"7, 11, 11, 34, 26, 15, 11, 15, 7, 0, 26, 3"
kansas city pilot training,16,16,0,210,41,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"65, 81, 43, 34, 65, 81, 81, 100, 81, 43, 65, 43"
kansas city pilot training,39,39,0,210,41,2.57,https://pilotinstructionalcenter.com/blog/tag/kansas-city-flight-school/,0,0,0,0,0.79,commercial,"65, 81, 43, 34, 65, 81, 81, 100, 81, 43, 65, 43"
kansas city pilot training,66,66,0,210,41,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,commercial,"65, 81, 43, 34, 65, 81, 81, 100, 81, 43, 65, 43"
introductory flight lesson,58,0,0,390,14,1.8,https://pilotinstructionalcenter.com/discovery-flight/,0,0,0,0,0.55,commercial,"21, 48, 21, 32, 26, 17, 17, 100, 88, 59, 11, 26"
kilo charlie aviation,69,69,0,590,32,2.09,https://pilotinstructionalcenter.com/,0,0,0,0,0.08,navigational,"59, 59, 88, 100, 88, 72, 59, 59, 48, 48, 39, 32"
fly training center,47,68,21,90,53,3.12,https://pilotinstructionalcenter.com/,0,0,0,0,0.09,commercial,"52, 41, 41, 52, 41, 41, 82, 23, 41, 52, 64, 100"
flight lessons kansas city,16,15,-1,140,35,3.73,https://pilotinstructionalcenter.com/,0,0,0,0,0.72,commercial,"35, 100, 23, 35, 35, 28, 23, 35, 35, 35, 28, 43"
flight lessons kansas city,46,0,0,140,35,3.73,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.72,commercial,"35, 100, 23, 35, 35, 28, 23, 35, 35, 35, 28, 43"
pilot choice,54,0,0,390,25,4.34,https://pilotinstructionalcenter.com/,0,0,0,0,0.09,navigational,"44, 44, 67, 67, 81, 100, 67, 7, 10, 10, 7, 19"
flight club kansas city,69,69,0,70,10,2.56,https://pilotinstructionalcenter.com/,0,0,0,0,0.14,navigational,"45, 63, 27, 81, 63, 81, 81, 81, 81, 36, 45, 27"
pilot training massachusetts,83,83,0,170,48,2.92,https://pilotinstructionalcenter.com/,0,0,0,0,0.7,commercial,"23, 15, 44, 23, 44, 54, 15, 23, 66, 18, 8, 6"
part 121 pilot jobs,4,0,0,30,14,2.67,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,0,0,0,0,0.4,commercial,"23, 23, 17, 11, 11, 11, 11, 11, 11, 29, 17, 23"
atd flight systems,59,59,0,390,27,3.17,https://pilotinstructionalcenter.com/,0,0,0,0,0.14,navigational,"48, 32, 32, 39, 39, 39, 48, 48, 48, 59, 48, 32"
aviation training center,55,0,0,210,43,2.96,https://pilotinstructionalcenter.com/,0,0,0,0,0.1,navigational,"65, 100, 43, 65, 53, 100, 43, 65, 53, 43, 53, 65"
the flight center,41,0,0,70,57,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.01,commercial,"3, 28, 3, 18, 18, 18, 3, 3, 3, 3, 18, 18"
flight schools in kansas,14,24,10,140,23,2.81,https://pilotinstructionalcenter.com/,0,0,0,0,0.29,commercial,"43, 43, 43, 53, 65, 65, 81, 34, 34, 34, 28, 34"
flight schools kansas city,12,12,0,50,20,3.73,https://pilotinstructionalcenter.com/,0,0,0,0,0.72,commercial,"5, 0, 2, 10, 100, 7, 5, 7, 5, 5, 7, 2"
flight schools kansas city,64,64,0,50,20,3.73,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.72,commercial,"5, 0, 2, 10, 100, 7, 5, 7, 5, 5, 7, 2"
what is a flight instructor,81,0,0,70,16,0,https://pilotinstructionalcenter.com/about/our-team/,0,0,0,0,0.01,informational,"5, 5, 12, 28, 5, 5, 5, 5, 28, 43, 28, 28"
atd flight systems llc,51,51,0,170,25,4.38,https://pilotinstructionalcenter.com/,0,0,0,0,0.19,navigational,"65, 65, 53, 28, 34, 43, 34, 43, 34, 81, 65, 81"
hetrick air services,64,0,0,210,21,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.02,navigational,"65, 65, 80, 100, 80, 80, 80, 80, 65, 100, 80, 80"
flying lessons wichita ks,49,0,0,50,24,2.6,https://pilotinstructionalcenter.com/,0,0,0,0,0.38,commercial,"19, 14, 52, 19, 4, 19, 14, 4, 19, 52, 66, 33"
cessna pilot training center near me,50,99,49,30,43,2.73,https://pilotinstructionalcenter.com/,0,0,0,0,0.53,transactional,"22, 22, 22, 55, 55, 22, 55, 22, 22, 22, 22, 22"
centennial flight schools,72,72,0,70,34,3.37,https://pilotinstructionalcenter.com/,0,0,0,0,0.47,commercial,"35, 50, 50, 50, 50, 50, 50, 50, 50, 50, 35, 50"
kc flight training,12,12,0,140,49,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,informational,"35, 14, 43, 22, 14, 54, 18, 29, 54, 43, 6, 22"
kc flight training,38,38,0,140,49,2.57,https://pilotinstructionalcenter.com/blog/tag/kansas-city-flight-school/,0,0,0,0,0.79,informational,"35, 14, 43, 22, 14, 54, 18, 29, 54, 43, 6, 22"
kc flight training,50,50,0,140,49,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,informational,"35, 14, 43, 22, 14, 54, 18, 29, 54, 43, 6, 22"
pilot qualification,1,1,0,40,30,2.33,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,0,0,0,0,0.13,informational,"1, 3, 1, 5, 15, 6, 6, 5, 8, 6, 0, 8"
flying club kansas city,67,67,0,30,11,2.56,https://pilotinstructionalcenter.com/,0,0,0,0,0.14,navigational,"40, 80, 60, 60, 60, 60, 100, 60, 80, 60, 80, 40"
flying club kansas city,68,67,-1,30,11,2.56,https://pilotinstructionalcenter.com/,0,0,0,0,0.14,navigational,"40, 80, 60, 60, 60, 60, 100, 60, 80, 60, 80, 40"
flight institute,62,0,0,70,55,3.49,https://pilotinstructionalcenter.com/,0,0,0,0,0.37,commercial,"41, 23, 29, 64, 100, 52, 41, 29, 29, 41, 23, 41"
kc aero academy,48,48,0,210,32,1.81,https://pilotinstructionalcenter.com/,0,0,0,0,0.06,navigational,"43, 43, 35, 53, 53, 53, 53, 100, 66, 82, 53, 53"
flight central,59,0,0,40,46,0.71,https://pilotinstructionalcenter.com/,0,0,0,0,0.09,"commercial, informational","54, 4, 10, 0, 0, 0, 0, 14, 0, 0, 0, 8"
flying lessons kansas city,12,14,2,110,52,3.73,https://pilotinstructionalcenter.com/,0,0,0,0,0.72,informational,"17, 23, 28, 53, 35, 28, 23, 23, 17, 28, 28, 28"
flying lessons kansas city,48,68,20,110,52,3.73,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.72,informational,"17, 23, 28, 53, 35, 28, 23, 23, 17, 28, 28, 28"
flying lessons kansas city mo,19,20,1,70,20,3.73,https://pilotinstructionalcenter.com/,0,0,0,0,0.72,commercial,"3, 19, 11, 15, 3, 0, 11, 26, 53, 53, 100, 26"
pilot flying training,56,0,0,2900,69,3.48,https://pilotinstructionalcenter.com/,0,0,0,0,0.58,commercial,"100, 1, 0, 3, 54, 100, 0, 3, 5, 4, 7, 3"
fly by knight inc,50,0,0,50,26,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.02,navigational,"52, 41, 29, 41, 29, 41, 41, 29, 29, 11, 11, 11"
how do you get a student pilot certificate,26,0,0,210,15,2.35,https://pilotinstructionalcenter.com/blog/how-to-get-your-faa-student-pilot-certificate-in-kansas-city/,0,0,0,0,0.34,informational,"81, 65, 81, 65, 65, 53, 43, 53, 53, 43, 65, 81"
pilot's choice,39,0,0,90,33,4.7,https://pilotinstructionalcenter.com/,0,0,0,0,0.11,navigational,"19, 34, 26, 26, 42, 42, 65, 0, 34, 34, 100, 15"
flight inc,84,84,0,50,47,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.02,navigational,"19, 19, 23, 19, 9, 19, 23, 42, 23, 42, 33, 33"
cfii training,35,0,0,140,0,2.01,https://pilotinstructionalcenter.com/flight-training/certified-flight-instructor-instrument-cfii/,0,0,0,0,0.42,informational,"34, 26, 80, 100, 80, 65, 42, 15, 19, 26, 53, 26"
pilot schools in kansas,16,16,0,110,39,2.81,https://pilotinstructionalcenter.com/,0,0,0,0,0.29,commercial,"42, 100, 52, 42, 33, 66, 80, 19, 33, 52, 33, 52"
sports pilots,50,50,0,720,20,1.59,https://pilotinstructionalcenter.com/flight-training/sport-pilot/,0,0,0,0,0.09,informational,"45, 45, 45, 67, 100, 76, 100, 67, 45, 67, 76, 0"
requirements for sport pilot license,50,0,0,140,21,1.17,https://pilotinstructionalcenter.com/flight-training/sport-pilot/,0,0,0,0,0.07,informational,"35, 12, 35, 100, 66, 23, 100, 53, 23, 7, 2, 2"
flex air flight school,46,46,0,210,46,0,https://pilotinstructionalcenter.com/,0,0,0,0,0,navigational,"100, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0"
pilot training wichita ks,39,0,0,110,24,2.35,https://pilotinstructionalcenter.com/,0,0,0,0,0.34,commercial,"65, 53, 53, 26, 42, 65, 15, 15, 80, 53, 65, 26"
commercial pilot privileges,6,6,0,90,8,2.24,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,0,0,0,0,0.04,informational,"64, 50, 50, 64, 78, 64, 50, 78, 50, 50, 64, 78"
flying clubs in kansas city,60,64,4,50,9,3.06,https://pilotinstructionalcenter.com/,0,0,0,0,0.09,navigational,"77, 100, 100, 77, 100, 100, 100, 11, 22, 0, 55, 11"
ir rating,67,0,0,30,31,2.42,https://pilotinstructionalcenter.com/flight-training/instrument-rating/,0,0,0,0,0.09,informational,"1, 1, 1, 7, 1, 0, 1, 0, 0, 0, 29, 3"
ir rating,71,0,0,30,31,2.42,https://pilotinstructionalcenter.com/flight-training/instrument-rating/,0,0,0,0,0.09,informational,"1, 1, 1, 7, 1, 0, 1, 0, 0, 0, 29, 3"
requirements for sport pilot certificate,58,58,0,260,17,1.17,https://pilotinstructionalcenter.com/flight-training/sport-pilot/,0,0,0,0,0.07,informational,"29, 54, 36, 15, 100, 66, 15, 9, 19, 44, 29, 36"
requirements for sport pilot certificate,65,58,-7,260,17,1.17,https://pilotinstructionalcenter.com/flight-training/sport-pilot/,0,0,0,0,0.07,informational,"29, 54, 36, 15, 100, 66, 15, 9, 19, 44, 29, 36"
kansas city pilot,31,31,0,40,17,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.31,commercial,"18, 100, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18"
pilot training center,56,0,0,390,63,2.47,https://pilotinstructionalcenter.com/,0,0,0,0,0.12,commercial,"54, 66, 36, 54, 54, 54, 54, 66, 100, 54, 66, 44"
pilot training center,61,0,0,390,63,2.47,https://pilotinstructionalcenter.com/,0,0,0,0,0.12,commercial,"54, 66, 36, 54, 54, 54, 54, 66, 100, 54, 66, 44"
pilot center,17,17,0,260,49,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.06,commercial,"11, 17, 21, 26, 59, 59, 32, 14, 17, 26, 17, 21"
c fgyd,47,0,0,40,12,0,https://pilotinstructionalcenter.com/about/our-fleet/,0,0,0,0,0.33,informational,"11, 64, 11, 100, 0, 82, 11, 11, 0, 0, 0, 0"
flying lessons in wichita ks,66,0,0,30,16,2.6,https://pilotinstructionalcenter.com/,0,0,0,0,0.38,commercial,"29, 29, 17, 5, 5, 0, 11, 11, 5, 41, 29, 11"
kansas city flight schools,13,13,0,90,19,0,https://pilotinstructionalcenter.com/,0,0,0,0,0,commercial,"11, 26, 3, 15, 19, 100, 65, 65, 100, 19, 3, 26"
kansas city flight schools,63,63,0,90,19,0,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0,commercial,"11, 26, 3, 15, 19, 100, 65, 65, 100, 19, 3, 26"
how to get ifr rating,79,0,0,30,9,2.91,https://pilotinstructionalcenter.com/flight-training/instrument-rating/,0,0,0,0,0.23,informational,"100, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18"
pilot training wichita,79,79,0,110,28,1.84,https://pilotinstructionalcenter.com/,0,0,0,0,0.49,commercial,"42, 52, 33, 33, 80, 80, 80, 33, 52, 33, 23, 33"
fly by knight,46,0,0,210,19,1.68,https://pilotinstructionalcenter.com/,0,0,0,0,0.06,navigational,"80, 80, 80, 100, 80, 65, 80, 65, 80, 65, 80, 65"
flight lessons wichita ks,74,74,0,140,18,1.84,https://pilotinstructionalcenter.com/,0,0,0,0,0.49,commercial,"42, 80, 19, 33, 80, 80, 80, 33, 52, 80, 80, 66"
aspire aviation academy,43,58,15,110,29,3.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.16,navigational,"11, 11, 64, 64, 64, 100, 64, 82, 82, 64, 41, 64"
how to obtain a student pilot certificate,28,0,0,210,15,2.53,https://pilotinstructionalcenter.com/blog/how-to-get-your-faa-student-pilot-certificate-in-kansas-city/,0,0,0,0,0.39,informational,"54, 54, 43, 54, 29, 29, 35, 66, 29, 66, 29, 35"
747 type rating cost,2,2,0,30,1,1.64,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,0,0,0,0,0.18,informational,"19, 23, 14, 23, 23, 9, 9, 19, 9, 9, 9, 9"
flight training center,57,57,0,110,51,5.27,https://pilotinstructionalcenter.com/,0,0,0,0,0.21,commercial,"52, 42, 52, 52, 33, 52, 100, 80, 42, 66, 80, 42"
cpl license training,46,0,0,40,14,1.94,https://pilotinstructionalcenter.com/flight-training/commercial-pilot/,0,0,0,0,0.5,informational,"28, 35, 21, 78, 100, 28, 14, 14, 14, 21, 14, 14"
how to pay for flight training,3,3,0,210,30,3.7,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,0,0,0,0,0.44,informational,"82, 100, 66, 53, 53, 43, 53, 43, 43, 43, 35, 53"
atd flight training,26,0,0,50,18,3.9,https://pilotinstructionalcenter.com/,0,0,0,0,0.36,navigational,"18, 100, 18, 18, 18, 18, 100, 18, 18, 100, 18, 100"
flight training for pilots,55,55,0,1000,68,3.06,https://pilotinstructionalcenter.com/,0,0,0,0,0.12,commercial,"1, 1, 1, 0, 13, 66, 4, 2, 2, 2, 3, 3"
kcpt flyers,28,0,0,70,31,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.05,navigational,"41, 41, 41, 41, 64, 41, 52, 41, 41, 41, 41, 29"
new century aircenter olathe ks,67,67,0,1300,12,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.06,"informational, transactional","3, 29, 29, 36, 29, 100, 2, 20, 43, 29, 22, 29"
flight training wichita ks,47,64,17,140,24,2.6,https://pilotinstructionalcenter.com/,0,0,0,0,0.38,commercial,"42, 34, 34, 19, 80, 26, 100, 65, 53, 80, 65, 65"
